state	min	max	mean	rates	root	lnL	lnL.p	lnL.h
35900	0.060	48.499	1.147	6	NA	-100.63	0.00	-4.92
36000	0.060	48.499	1.171	6	NA	-100.89	0.00	-0.69
36100	0.050	48.499	1.137	6	NA	-101.33	-2.16	-3.08
36200	0.051	48.499	1.138	6	NA	-101.21	0.00	-0.49
36300	0.051	48.499	1.186	6	NA	-102.61	0.00	0.00
36400	0.051	48.499	1.138	6	NA	-101.21	0.00	-0.69
36500	0.051	48.499	1.162	6	NA	-101.32	0.00	-0.69
36600	0.051	48.499	1.162	6	NA	-101.32	0.00	-1.46
36700	0.051	48.499	1.178	6	NA	-101.40	0.00	-0.95
36800	0.051	48.499	1.154	6	NA	-101.29	0.00	-0.94
36900	0.051	48.499	1.178	6	NA	-101.40	0.00	-1.77
37000	0.051	48.499	1.178	6	NA	-101.40	-2.16	-3.08
37100	0.078	48.499	1.180	6	NA	-101.56	0.00	-0.61
37200	0.078	48.499	1.204	6	NA	-101.98	0.00	0.00
37300	0.078	48.499	1.204	6	NA	-101.98	0.00	-0.43
37400	0.010	48.499	1.207	7	NA	-99.38	0.00	-0.32
37500	0.010	48.499	1.087	6	NA	-101.45	0.00	0.69
37600	0.010	48.499	0.967	6	NA	-98.63	0.00	-0.69
37700	0.010	48.499	1.197	6	NA	-99.56	0.00	-1.40
37800	0.010	48.499	1.073	6	NA	-98.84	0.00	0.00
37900	0.010	48.499	1.188	6	NA	-98.71	0.00	-0.69
38000	0.010	48.499	1.188	6	NA	-98.71	1.98	3.27
38100	0.010	48.499	1.077	6	NA	-100.63	0.00	-1.11
38200	0.010	48.499	0.968	6	NA	-101.45	0.00	0.00
38300	0.010	48.499	1.089	6	NA	-101.63	0.00	0.00
38400	0.010	48.499	0.968	5	NA	-104.31	0.00	-0.17
38500	0.010	48.499	0.880	5	NA	-100.04	0.00	-3.26
38600	0.010	48.499	0.963	5	NA	-103.87	0.00	0.69
38700	0.010	48.499	0.963	6	NA	-101.93	0.00	-0.93
38800	0.010	48.499	0.963	6	NA	-101.93	0.00	-0.76
38900	0.010	48.499	0.963	6	NA	-101.93	0.00	-1.81
39000	0.010	48.499	0.963	5	NA	-103.87	0.00	-0.69
39100	0.003	48.499	0.882	6	NA	-101.43	0.00	0.00
39200	0.005	48.499	0.878	5	NA	-101.49	0.00	-1.45
39300	0.005	48.499	0.878	5	NA	-101.49	0.00	-0.09
39400	0.081	48.499	0.881	4	NA	-106.60	0.00	0.00
39500	0.081	48.499	1.593	4	NA	-109.90	0.00	-0.69
39600	0.081	48.499	0.881	4	NA	-106.60	-1.75	-3.50
39700	0.060	48.499	1.581	7	NA	-104.53	0.00	0.00
39800	0.084	48.499	0.786	6	NA	-101.68	0.00	-1.72
39900	0.085	48.499	1.502	6	NA	-104.61	0.00	-0.69
40000	0.050	38.246	0.751	6	NA	-103.72	0.00	0.00
40100	0.061	38.246	0.752	7	NA	-97.02	0.00	0.00
40200	0.061	38.246	0.857	7	NA	-98.52	0.00	-0.69
40300	0.061	38.246	1.823	7	NA	-97.72	0.00	-0.69
40400	0.061	38.246	1.932	7	NA	-99.95	0.00	-0.06
40500	0.061	38.246	1.823	7	NA	-97.72	0.00	-0.01
40600	0.061	38.246	0.729	7	NA	-97.92	0.00	-0.69
40700	0.062	38.246	0.729	6	NA	-97.77	0.00	-1.14
