"","gene_fam","fisherPvalues_Capybara","fisherPvalues_Capybara_Bonferroni"
"467","PTHR12156:SF33",0.266297696049749,1
"468","PTHR10055:SF15",1,1
"469","PTHR23189:SF67",1,1
"470","PTHR10165:SF129",1,1
"471","PTHR13112:SF7",0.370448143337681,1
"472","PTHR23140",1,1
"473","PTHR10615:SF133",0.521360975797898,1
"474","PTHR13710:SF113",0.64316782753972,1
"475","PTHR11915:SF413",0.373130008629335,1
"476","PTHR14571:SF14",1,1
"477","PTHR11036:SF104",0.135694543225582,1
"478","PTHR12634:SF22",0.270608634110208,1
"479","PTHR22881:SF28",0.404526258311349,1
"480","PTHR11371:SF33",1,1
"481","PTHR16435:SF9",0.711320917955262,1
"482","PTHR22572:SF127",0.639611418007976,1
"483","PTHR10339:SF25",1,1
"484","PTHR26453:SF416",0.196597898891188,1
"485","PTHR15728:SF1",0.771450871067954,1
"486","PTHR24083:SF113",1,1
"487","PTHR22800:SF220",1,1
"488","PTHR14614:SF83",1,1
"489","PTHR33862:SF4",0.470765688157878,1
"490","PTHR15672:SF22",0.0231838800112013,1
"491","PTHR18952:SF132",1,1
"492","PTHR10005:SF22",0.53028853548174,1
"493","PTHR10309",1,1
"494","PTHR26452:SF519",0.599371683754074,1
"495","PTHR14758:SF11",1,1
"496","PTHR23248:SF43",1,1
"497","PTHR31918",1,1
"498","PTHR23235:SF23",0.674265203756203,1
"499","PTHR24023:SF729",0.405878132827476,1
"500","PTHR23113:SF281",0.534910776909771,1
"501","PTHR11732:SF317",1,1
"502","PTHR14269:SF30",1,1
"503","PTHR11738:SF126",0.599371683754074,1
"504","PTHR26451:SF551",0.44929348763883,1
"505","PTHR24044:SF396",0.211008439435305,1
"506","PTHR12411:SF435",0.614992500428838,1
"507","PTHR31919",0.566203084715547,1
"508","PTHR24213:SF24",0.375595781241725,1
"509","PTHR12533:SF16",0.268248472856237,1
"510","PTHR16776:SF4",1,1
"511","PTHR22957:SF426",0.331677662408102,1
"512","PTHR22792:SF88",1,1
"513","PTHR23511:SF22",0.40994995043347,1
"514","PTHR10183:SF330",1,1
"515","PTHR10194:SF113",1,1
"516","PTHR15344:SF23",1,1
"517","PTHR11977:SF54",0.526660216094288,1
"518","PTHR15960:SF7",1,1
"519","PTHR19303:SF354",1,1
"520","PTHR23071",0.730432670201548,1
"521","PTHR12560:SF31",1,1
"522","PTHR12610:SF29",0.730432670201548,1
"523","PTHR24089:SF585",1,1
"524","PTHR18863:SF8",1,1
"525","PTHR24375:SF240",0.45165281054992,1
"526","PTHR35539:SF2",1,1
"527","PTHR16172:SF39",0.470765688157878,1
"528","PTHR11654:SF256",0.53028853548174,1
"529","PTHR43294:SF7",1,1
"530","PTHR10527:SF32",0.196597898891188,1
"531","PTHR23257:SF576",1,1
"532","PTHR24082:SF388",0.0787206490517889,1
"533","PTHR43655:SF10",0.599371683754074,1
"534","PTHR23213:SF290",0.225516612603453,1
"535","PTHR22984:SF15",0.511231209360091,1
"536","PTHR10791:SF100",1,1
"537","PTHR15499:SF5",1,1
"538","PTHR10609:SF23",0.599371683754074,1
"539","PTHR11915:SF390",0.45048712185945,1
"540","PTHR19868:SF1",0.491400715750939,1
"541","PTHR11636:SF101",1,1
"542","PTHR10489:SF758",0.18909850842926,1
"543","PTHR26451:SF598",0.211008439435305,1
"544","PTHR11829:SF241",1,1
"545","PTHR11909:SF202",0.773206349808288,1
"546","PTHR22880:SF195",0.566203084715547,1
"547","PTHR10160:SF28",1,1
"548","PTHR28577:SF2",1,1
"549","PTHR15301:SF13",0.526660216094288,1
"550","PTHR14305:SF1",1,1
"551","PTHR22979:SF38",1,1
"552","PTHR24103:SF512",1,1
"553","PTHR11449:SF5",1,1
"554","PTHR15004",0.182316791975725,1
"555","PTHR23004:SF12",0.599371683754074,1
"556","PTHR23417:SF20",1,1
"557","PTHR12125:SF16",1,1
"558","PTHR16121:SF3",0.583117115443178,1
"559","PTHR23239:SF278",1,1
"560","PTHR24103:SF444",0.526660216094288,1
"561","PTHR11461:SF237",1,1
"562","PTHR11334:SF38",1,1
"563","PTHR18935:SF12",1,1
"564","PTHR12247:SF100",1,1
"565","PTHR24006:SF636",0.592528873200903,1
"566","PTHR12854:SF16",0.0329789315251686,1
"567","PTHR23073:SF50",0.53028853548174,1
"568","PTHR14336:SF7",0.774643869981598,1
"569","PTHR14948:SF31",0.491400715750939,1
"570","PTHR23423:SF54",0.777505784372271,1
"571","PTHR22957:SF374",1,1
"572","PTHR10151:SF96",0.121557274601599,1
"573","PTHR24329:SF441",0.705866601641367,1
"574","PTHR11351:SF42",0.354332691998714,1
"575","PTHR11461:SF259",0.327584333776033,1
"576","PTHR11827:SF70",1,1
"577","PTHR11926:SF657",1,1
"578","PTHR24409:SF165",0.63085741325675,1
"579","PTHR26452:SF541",0.0596042568162472,1
"580","PTHR10845:SF227",0.530379644340221,1
"581","PTHR43340:SF1",0.624705663462955,1
"582","PTHR21166:SF4",1,1
"583","PTHR10058:SF1",1,1
"584","PTHR21354",0.54860283777153,1
"585","PTHR21292:SF17",1,1
"586","PTHR13989:SF26",0.725696445879893,1
"587","PTHR24369:SF102",1,1
"588","PTHR13636:SF1",1,1
"589","PTHR14768:SF8",0.599371683754074,1
"590","PTHR11782:SF58",1,1
"591","PTHR23043:SF42",0.659842220845539,1
"592","PTHR10125:SF29",1,1
"593","PTHR12687:SF9",1,1
"594","PTHR16092:SF27",0.534910776909771,1
"595","PTHR10027:SF37",0.000628341521504333,1
"596","PTHR14058:SF15",0.0166333320439647,1
"597","PTHR12673:SF222",0.191925275670901,1
"598","PTHR15228:SF30",1,1
"599","PTHR24377:SF567",0.302511881455608,1
"600","PTHR11594:SF9",0.820660334272226,1
"601","PTHR24367:SF291",1,1
"602","PTHR21258:SF52",1,1
"603","PTHR14320:SF3",0.628684760565179,1
"604","PTHR13715:SF90",0.0667571821415924,1
"605","PTHR32059:SF1",0.521360975797898,1
"606","PTHR23504:SF51",0.54860283777153,1
"607","PTHR24361:SF589",0.725696445879893,1
"608","PTHR16294:SF11",1,1
"609","PTHR14453:SF79",0.72900450079445,1
"610","PTHR39411:SF2",0.180326678565829,1
"611","PTHR19269:SF61",0.523820527658966,1
"612","PTHR22974:SF25",1,1
"613","PTHR23226:SF107",0.521360975797898,1
"614","PTHR26452:SF490",5.5404502620382e-12,1.28039805555703e-07
"615","PTHR24223:SF292",0.526660216094288,1
"616","PTHR22812:SF123",1.79133371423477e-08,0.000413977221359656
"617","PTHR15416:SF9",0.523820527658966,1
"618","PTHR19143:SF317",0.127210479853101,1
"619","PTHR24031:SF374",0.599371683754074,1
"620","PTHR13803:SF22",0.725696445879893,1
"621","PTHR14233:SF21",0.599371683754074,1
"622","PTHR24100:SF91",1,1
"623","PTHR21646",1,1
"624","PTHR24229:SF55",0.379964313300787,1
"625","PTHR12072:SF7",0.0173831483323277,1
"626","PTHR26454:SF122",1,1
"627","PTHR13177:SF5",0.491400715750939,1
"628","PTHR11767:SF86",1,1
"629","PTHR10816:SF26",0.447728286695082,1
"630","PTHR43205:SF3",1,1
"631","PTHR11915:SF374",0.426950151188977,1
"632","PTHR11630:SF80",0.491400715750939,1
"633","PTHR12231:SF203",0.566203084715547,1
"634","PTHR37680",1,1
"635","PTHR24060:SF127",1,1
"636","PTHR32286:SF10",0.566203084715547,1
"637","PTHR24300:SF239",0.136503504569925,1
"638","PTHR10489:SF824",1,1
"639","PTHR23044:SF41",0.0157034599934146,1
"640","PTHR13140:SF634",0.0469567308350228,1
"641","PTHR11071:SF308",0.526660216094288,1
